"key","type","title","DOI","date","pub","collections"
"4ME7NZ5I","journalArticle","Loss of Wt1 in the murine spinal cord alters interneuron composition and locomotion","10.1101/226316","2017-11-29","bioRxiv","N9R9QB36"
"4KWJDEJH","journalArticle","Model Predictive Control for Gust Load Alleviation","10.3182/20120823-5-NL-3013.00049","January 1, 2012","IFAC Proceedings Volumes","8KUXKGCX;U65AP8TW"
"MTERN9VC","journalArticle","Mid-Lumbar Segments Are Needed for the Expression of Locomotion in Chronic Spinal Cats","10.1152/jn.00909.2004","2005-05-01","Journal of Neurophysiology","N9R9QB36"
"NAW9TPDV","journalArticle","Central Pattern Generator Inspired Control for Adaptive Walking of Biped Robots","10.1109/TSMC.2012.2235426","09/2013","IEEE Transactions on Systems, Man, and Cybernetics: Systems","XK5E9LE4"
"GDEHQTXV","journalArticle","Functional identification of interneurons responsible for left-right coordination of hindlimbs in mammals.","10.1016/s0896-6273(03)00353-2","2003-06-19","Neuron","N9R9QB36"
"25Q6YAMZ","journalArticle","Localization and organization of the central pattern generator for hindlimb locomotion in newborn rat","10.1523/JNEUROSCI.15-07-04943.1995","1995-07-01","The Journal of Neuroscience","3JICMNZE;7MUA9TNJ;JHS52VG2;JNXN9AAK;PCKP9AS7;TSL7SF8X;TYJX29H8"
"QVN2D9LR","journalArticle","A three-dimensional model of the rat hindlimb: musculoskeletal geometry and muscle moment arms",,"2008","Journal of Biomechanics","5TDG33CE;8ZJVZTWZ"
"PB8UPELL","journalArticle","From Biological Cilia to Artificial Flow Sensors: Biomimetic Soft Polymer Nanosensors with High Sensing Performance","10.1038/srep32955","2016-09-13","Scientific Reports","8KUXKGCX"
"VS8VGYUP","journalArticle","The Effects of Sex, Joint Angle, and the Gastrocnemius Muscle on Passive Ankle Joint Complex Stiffness",,"Dec 2001","Journal of Athletic Training","Q5A46GCA"
"WTJP495V","journalArticle","Split-belt walking alters the relationship between locomotor phases and cycle duration across speeds in intact and chronic spinalized adult cats.","10.1523/jneurosci.3931-12.2013","2013-05-08","The Journal of Neuroscience","N9R9QB36"
"3E3LAACP","journalArticle","Integration of feedforward and feedback control in the neuromechanics of vertebrate locomotion: a review of experimental, simulation and robotic studies","10.1242/jeb.245784","2023-08-01",,"N9R9QB36"
"RHZFK6L7","journalArticle","Central control of interlimb coordination and speed-dependent gait expression in quadrupeds.","10.1113/jp272787","2016-12-01","The Journal of Physiology","N9R9QB36"
"H6EXPMRM","journalArticle","Modelling of intersegmental coordination in the lamprey central pattern generator for locomotion","10.1016/0166-2236(92)90006-T","11/1992","Trends in Neurosciences","7MUA9TNJ;E2FKFDAQ;JHS52VG2;JNXN9AAK;RPTFU546;TYJX29H8"
"FWDSZERF","journalArticle","Design of a Quadruped Robot Driven by Air Muscles","10.1109/BIOROB.2006.1639201","2006","The First IEEE/RAS-EMBS International Conference on Biomedical Robotics and Biomechatronics","5TDG33CE;6TF2M9GP;7BJ8K9CF;DCRCGT9E;NZCI8A3Q"
"RU3JDMAR","journalArticle","HALF-CENTRES REVISITED","10.1016/b978-0-08-026814-9.50025-9","1981-01-01",,"N9R9QB36"
"SL2QSU9Y","journalArticle","An adaptive locomotion controller for a hexapod robot: CPG, kinematics and force feedback","10.1007/s11432-014-5148-y","11/2014","Science China Information Sciences","7MUA9TNJ;JHS52VG2;T82M4DVB;TYJX29H8"
"978VAMDM","journalArticle","Convergent evolution and locomotion through complex terrain by insects, vertebrates and robots","10.1016/j.asd.2004.05.001","2004-07-01","Arthropod Structure & Development","N9R9QB36"
"DIY5AR2I","preprint","Design, Modeling and Direction Control of a Wire-Driven Robotic Fish Based on a 2-DoF Crank-Slider Mechanism","10.48550/arXiv.2603.02851","2026-03-03",,"TYJX29H8;VD8SAM7F"
"87XLEY6N","journalArticle","Organization of common synaptic drive to motoneurones during fictive locomotion in the spinal cat","10.1113/jphysiol.2005.091744","2005-11-01","The Journal of Physiology","N9R9QB36"
"E3LUEWU9","journalArticle","Simple model of spiking neurons","10.1109/TNN.2003.820440","11/2003","IEEE Transactions on Neural Networks","RK95XFHP;YGJ8NW46"
"I5BISQVF","journalArticle","Contribution of load and length related manipulations to muscle responses during force perturbations","10.14288/1.0071394","2010-01-01",,"N9R9QB36"
"IC8M69G3","journalArticle","An interactive graphics-based model of the lower extremity to study orthopaedic surgical procedures","10.1109/10.102791","August 1990","IEEE Transactions on Biomedical Engineering","Q5A46GCA"
"UCXWC7G5","journalArticle","A biologically based neural system coordinates the joints and legs of a tetrapod","10.1088/1748-3190/10/5/055004","2015","Bioinspiration & Biomimetics","5CRWN2QL;9KWWRHPC;C9GHUG33;HH56GVGM;J9QQKKC3;JXDH3WWD;N9R9QB36;RPTFU546;SUKCWFGV;V22WMIYJ;XK5E9LE4;Y5999VDY;Z2IJ6ASX"
"A8ALFPH4","journalArticle","The orientation of the distal part of the quadriceps femoris muscle as a function of the knee flexion-extension angle","10.1016/0021-9290(85)90055-7","January 1, 1985","Journal of Biomechanics","Q5A46GCA"
"LFNMW4Q8","journalArticle","Inhibition of flexor burst generation by loading ankle extensor muscles in walking cats","10.1016/0006-8993(80)90206-1","1980-04-14","Brain Research","N9R9QB36"
"IPF4LU3K","journalArticle","Design and analysis of biomimetic joints for morphing of micro air vehicles","10.1088/1748-3182/5/4/045007","2010","Bioinspiration & Biomimetics","MMK48V5F;U65AP8TW;VD7TQ8M3"
"SMEEANZH","journalArticle","Interlimb coordination during fictive locomotion in the thalamic cat.","10.1007/bf00228795","1990-01-01","Experimental Brain Research","N9R9QB36"
"C5F575AT","journalArticle","Dynamic Sensorimotor Interactions in Locomotion","10.1152/physrev.00028.2005","2006-01-01","Physiological Reviews","N9R9QB36"
"4MPTIS4D","journalArticle","Fixed-wing MAV attitude stability in atmospheric turbulence, part 1: Suitability of conventional sensors","10.1016/j.paerosci.2014.06.001","October 1, 2014","Progress in Aerospace Sciences","8KUXKGCX;U65AP8TW;VD7TQ8M3"
"Y76C5HR8","journalArticle","Myotomal Muscle Function at Different Locations in the Body of a Swimming Fish","10.1242/jeb.182.1.191","1993-09-01","Journal of Experimental Biology","VD8SAM7F"
"N9NMPVXW","journalArticle","Failure of Averaging in the Construction of a Conductance-Based Neuron Model","10.1152/jn.00412.2001","2002-02-01","Journal of Neurophysiology","YGJ8NW46"
"ILB5DIKY","journalArticle","Synaptic connectivity amongst components of the locomotor central pattern generator","10.3389/fncir.2022.1076766","2022-11-24","Frontiers in Neural Circuits","N9R9QB36"
"E3SF8WED","journalArticle","Method for controlling a robotic limb joint",,"2014-10-21",,"N9R9QB36"
"SS5Z23PD","journalArticle","Kinematic and Kinetic Analysis of a Biomechanical Model of Rat Hind Limb with Biarticular Muscles","10.1007/978-3-030-64313-3_7","2020",,"N9R9QB36"
"TEFEE24P","journalArticle","Time series prediction with single multiplicative neuron model","10.1016/j.asoc.2006.01.003","8/2007","Applied Soft Computing","YGJ8NW46"
"Y999MLY7","journalArticle","Phasic gain control of reflexes from the dorsum of the paw during spinal locomotion.","10.1016/0006-8993(77)90710-7","1977-08-19","Brain Research","N9R9QB36"
"JISFPPWE","journalArticle","Motor cortical regulation of sparse synergies provides a framework for the flexible control of precision walking","10.3389/fncom.2013.00083","2013-07-11","Frontiers in Computational Neuroscience","N9R9QB36"
"ISXYX3AD","journalArticle","Chapter 2--the spinal generation of phases and cycle duration.","10.1016/b978-0-444-53825-3.00007-3","2011-01-01","Progress in Brain Research","N9R9QB36"
"QLZDYN9W","journalArticle","Motor antagonism exposed by spatial segregation and timing of neurogenesis","10.1038/nature10538","2011-11-03","Nature","N9R9QB36"
"6SJH23HI","bookSection","A Review of Computational Musculoskeletal Analysis of Human Lower Extremities",,,,"Q5A46GCA"
"ZX43HKI4","journalArticle","Effects of combining static and dynamic fusimotor stimulation on the response of the muscle spindle primary ending to sinusoidal stretching.","10.1113/jphysiol.1977.sp011840","1977","The Journal of Physiology","7N4C29P2;N9R9QB36"
"B7592WSE","journalArticle","Visual transduction in Drosophila","10.1038/35093002","September 13, 2001","Nature","5T5PXLZC"
"H3476B48","journalArticle","A Review of the Integrate-and-fire Neuron Model: I. Homogeneous Synaptic Input","10.1007/s00422-006-0068-6","7/2006","Biological Cybernetics","4SGK9MF3;YGJ8NW46"
"5Y6JGAVN","journalArticle","Forms of Forward Quadrupedal Locomotion. III. A Comparison of Posture, Hindlimb Kinematics, and Motor Patterns for Downslope and Level Walking","10.1152/jn.1998.79.4.1702",,"Journal of Neurophysiology","N9R9QB36"
"IM3H8JUZ","journalArticle","Exercise, music, and the brain: Is there a central pattern generator?","10.1080/02640414.2010.507252","10/2010","Journal of Sports Sciences","TYJX29H8"
"LYDH3ELJ","journalArticle","Self-organized control of bipedal locomotion by neural oscillators in unpredictable environment","10.1007/BF00198086","7/1991","Biological Cybernetics","QUIZCN5R"
"DP3W5RIU","journalArticle","Peripheral control of the cat's step cycle. II. Entrainment of the central pattern generators for locomotion by sinusoidal hip movements during ""fictive locomotion."".","10.1111/j.1748-1716.1983.tb07267.x","1983-07-01","Acta Physiologica Scandinavica","N9R9QB36"
"7SVA83T6","journalArticle","Deletions of Rhythmic Motoneuron Activity During Fictive Locomotion and Scratch Provide Clues to the Organization of the Mammalian Central Pattern Generator","10.1152/jn.00216.2005","08/2005","Journal of Neurophysiology","7MUA9TNJ;JHS52VG2;JNXN9AAK;N9R9QB36;TSL7SF8X;TYJX29H8"
"LNUVC75L","journalArticle","Phenomenological models of the dynamics of muscle during isotonic shortening","10.1016/j.jbiomech.2013.07.018","September 27, 2013","Journal of Biomechanics","AJENK7I2"
"9MJFG84H","journalArticle","Computer simulation of stepping in the hind legs of the cat: an examination of mechanisms regulating the stance-to-swing transition.","10.1152/jn.00065.2005","December 2005","Journal of neurophysiology","DSDYXL2L;XK5E9LE4"
"WZFK2P52","journalArticle","Firing Properties of Identified Interneuron Populations in the Mammalian Hindlimb Central Pattern Generator","10.1523/jneurosci.22-22-09961.2002","2002-11-15","The Journal of Neuroscience","N9R9QB36"
"SM6LKCJ2","journalArticle","Fly visual course control: behaviour, algorithms and circuits","10.1038/nrn3799","September 2014","Nature Reviews Neuroscience","5T5PXLZC"
"H6HKF65J","journalArticle","Asymmetric Operation of the Locomotor Central Pattern Generator in the Neonatal Mouse Spinal Cord","10.1152/jn.90729.2008","2008-10-01","Journal of Neurophysiology","N9R9QB36"
"8MFKLMFC","journalArticle","Is there a central pattern generator in man?","10.1038/sc.1995.54","5/1995","Spinal Cord","TYJX29H8"
"5U3EIKFT","journalArticle","The cat step cycle: Hind limb joint angles and muscle lengths during unrestrained locomotion","10.1002/jmor.1051410102","1973-09-01","Journal of Morphology","N9R9QB36"
"5YIDLULC","journalArticle","Central drive and proprioceptive control of antennal movements in the walking stick insect","10.1016/j.jphysparis.2012.06.001","1/2013","Journal of Physiology-Paris","7N4C29P2"
"IEBA5LH9","journalArticle","Biomechanics of smart wings in a bat robot: morphing wings using SMA actuators","10.1088/1748-3182/7/3/036006","2012","Bioinspiration & Biomimetics","MMK48V5F;U65AP8TW;VD7TQ8M3"
"DL24USDE","journalArticle","Quantification of gait parameters in freely walking wild type and sensory deprived Drosophila melanogaster","10.7554/eLife.00231","2013-01-08","eLife","7N4C29P2"
"ZS37FVBV","journalArticle","Biomechanics of quadrupedal walking: how do four-legged animals achieve inverted pendulum-like movements?",,"2004",,"5TDG33CE"
"QH2ZHL9K","journalArticle","Effects of stimulation of hindlimb flexor group II afferents during fictive locomotion in the cat.",,"1995-8-15","The Journal of Physiology","N9R9QB36"
"GQQ3LJW9","book","Attitude and Altitude Controller Design for Quad-Rotor Type MAVs","10.1155/2013/587098","May 9, 2013",,"8KUXKGCX;U65AP8TW;VD7TQ8M3"
"S5PDYKPL","journalArticle","Lumbar Spinal Interneuron Activity as it Relates to Rhythmic Motor Output in the Adult, Spinal, Air-Stepping Cat",,"2014-01-01",,"N9R9QB36"
"X76V2YPQ","journalArticle","Contribution of peripheral afferents to the activation of the soleus muscle during walking in humans.","10.1007/bf00227094","1991-01-01","Experimental Brain Research","N9R9QB36"
"Z4PY4APF","webpage","Mammalian muscle receptors and their central actions by Peter B. C. Matthews | Open Library",,,,"7N4C29P2"
"22VVYMX8","journalArticle","The effects of self-reinnervation of cat medial and lateral gastrocnemius muscles on hindlimb kinematics in slope walking","10.1007/s00221-007-0938-8","8/2007","Experimental Brain Research","7N4C29P2"
"CK2NF8VD","journalArticle","Rhythmic Patterns in the Thoracic Nerve Cord of the Stick Insect Induced by Pilocarpine","10.1242/jeb.198.2.435","1995-02-01","Journal of Experimental Biology","XK5E9LE4"
"Q5F4NAV9","conferencePaper","Bio-inspired knee joint mechanism for a hydraulic quadruped robot","10.1109/ICARA.2015.7081168","February 2015",,"AR82MPS8;JTGFU9XU"
"M5TE24I3","journalArticle","Neural Adaptation in the Generation of Rhythmic Behavior","10.1146/annurev.physiol.62.1.723","2000-01-01","Annual Review of Physiology","N9R9QB36"
"FJUP5VQ4","conferencePaper","Distributed Pressure Sensing for Enabling Self-Aware Autonomous Aerial Vehicles","10.1109/IROS.2018.8593664","October 2018",,"8KUXKGCX;U65AP8TW"
"WNZGBKM2","journalArticle","From swimming to walking with a salamander robot driven by a spinal cord model.",,"2007","Science","ADI9MVVM;NW7YXWPA;V22WMIYJ;XK5E9LE4;Z2IJ6ASX"
"VZ66KQ4C","journalArticle","Sensory feedback by peripheral nerve stimulation improves task performance in individuals with upper limb loss using a myoelectric prosthesis","10.1088/1741-2560/13/1/016001","2016-02-01","Journal of Neural Engineering","7N4C29P2;N9R9QB36"
"J352NTSW","journalArticle","Increased amplitude of cutaneous reflexes during human running as compared to standing.","10.1016/0006-8993(93)90903-z","1993-06-11","Brain Research","N9R9QB36"
"SHUH36FQ","journalArticle","Motoneuronal and muscle synergies involved in cat hindlimb control during fictive and real locomotion: a comparison study","10.1152/jn.00865.2011","2012-04-15","Journal of Neurophysiology","N9R9QB36;V22WMIYJ"
"IDW58ZH9","journalArticle","State- and Condition-Dependent Modulation of the Hindlimb Locomotor Pattern in Intact and Spinal Cats Across Speeds","10.3389/fnsys.2022.814028","2022-02-09","Frontiers in Systems Neuroscience","N9R9QB36"
"A4PMB5Q5","journalArticle","Entrainment of the locomotor rhythm by group Ib afferents from ankle extensor muscles in spinal cats.","10.1007/bf00230939","1992-01-01","Experimental Brain Research","N9R9QB36"
"P7UKEMAJ","journalArticle","The intrinsic factors in the act of progression in the mammal","10.1098/rspb.1911.0077","1911-12-08","Proceedings of The Royal Society B: Biological Sciences","N9R9QB36"
"ICMPX662","journalArticle","How swifts control their glide performance with morphing wings","10.1038/nature05733","2007/04","Nature","MMK48V5F;U65AP8TW;VD7TQ8M3"
"KAQJLCMY","journalArticle","Assessing sensory function in locomotor systems using neuro-mechanical simulations","10.1016/j.tins.2006.08.007","2006-11-01","Trends in neurosciences","8ZJVZTWZ;DSDYXL2L;N9R9QB36;UQIQANLV;VIKGTZKC"
"KJSG6IVC","journalArticle","Gust Mitigation of Micro Air Vehicles Using Passive Articulated Wings","10.1155/2014/598523","2014-1-2","The Scientific World Journal","MMK48V5F;U65AP8TW"
"IDWZX38H","journalArticle","Biomechanical and Sensory Feedback Regularize the Behavior of Different Locomotor Central Pattern Generators","10.3390/biomimetics7040226","2022/12","Biomimetics","48MI7YWC;5CRWN2QL;6TF2M9GP;9KWWRHPC;FPJSQBTB;HH56GVGM;LB2PA2M3;N9R9QB36;RPTFU546;S7EBCZE4"
"WL3ITEDE","journalArticle","Rare phenomena of central rhythm and pattern generation in a case of complete spinal cord injury","10.1038/s41467-023-39034-y","2023-06-06",,"N9R9QB36"
"5689ZU7J","journalArticle","Further studies of static and dynamic fusimotor fibres","10.1113/jphysiol.1964.sp007477","1964","The Journal of Physiology","7N4C29P2"
"XEWECXEL","journalArticle","Controlling torque in a prosthesis or orthosis",,"2011-04-04",,"N9R9QB36"
"76R482KP","journalArticle","The Importance of Body Stiffness in Undulatory Propulsion","10.1093/icb/36.6.678","12/1996","American Zoologist","VD8SAM7F"
"RMQTJH8Y","journalArticle","Active gust load alleviation system for flexible aircraft: Mixed feedforward/feedback approach","10.1016/j.ast.2014.12.020","February 1, 2015","Aerospace Science and Technology","MMK48V5F;U65AP8TW"
"9UA8CYPG","journalArticle","Modulation of forelimb and hindlimb muscle activity during quadrupedal tied-belt and split-belt locomotion in intact cats","10.1016/j.neuroscience.2014.12.084","2015-01-30","Neuroscience","N9R9QB36"
"E2G75RYG","journalArticle","Swing-to-Stance Transition in Walking Cats A Role for Hip Position in Initiating the",,"2015-01-01",,"N9R9QB36"
"S4KURXR3","journalArticle","Bipedal walk using a Central Pattern Generator","10.1016/j.ics.2004.05.129","8/2004","International Congress Series","TYJX29H8"
"ECUFML4R","journalArticle","Dynamics and flight control of a flapping-wing robotic insect in the presence of wind gusts","10.1098/rsfs.2016.0080","February 6, 2017","Interface Focus","BBE4U5K8;NW7YXWPA;U65AP8TW"
"VG37PI9F","journalArticle","Dendritic Neuron Model With Effective Learning Algorithms for Classification, Approximation, and Prediction","10.1109/TNNLS.2018.2846646","2/2019","IEEE Transactions on Neural Networks and Learning Systems","YGJ8NW46"
"JNDRFXBW","conferencePaper","Hardware Implementation of a Bio-plausible Neuron Model for Evolution and Growth of Spiking Neural Networks on FPGA","10.1109/AHS.2008.13","June 2008",,"5T5PXLZC"
"WDB5LBKX","journalArticle","The flexion synergy, mother of all synergies and father of new models of gait","10.3389/fncom.2013.00014","2013-03-13","Frontiers in Computational Neuroscience","N9R9QB36"
"RVPEHWRE","journalArticle","A sensory signal related to left-right symmetry modulates intra- and interlimb cutaneous reflexes during locomotion in intact cats","10.3389/fnsys.2023.1199079","2023-06-09",,"N9R9QB36"
"89GWZLI7","journalArticle","Neuromechanical Model of Rat Hind Limb Walking with Two-Layer CPGs",,"2019/3","Biomimetics","6TF2M9GP;9KWWRHPC;G7U2YC7Y;HH56GVGM;MA3TJQ29;N9R9QB36;PUDA6G27;RPTFU546;S7EBCZE4;V22WMIYJ;XK5E9LE4;Z2IJ6ASX"
"HA3WX6Y6","journalArticle","Sensor-rich feedback control: a new paradigm for flight control inspired by insect agility","10.1109/MIM.2004.1337909","Sept 2004","IEEE Instrumentation Measurement Magazine","8KUXKGCX;U65AP8TW;VD7TQ8M3"
"FNZWRT8W","journalArticle","Neuromechanical model of praying mantis explores the role of descending commands in pre-strike pivots.","10.1088/1748-3190/10/6/065005","2015-11-18","Bioinspiration & Biomimetics","9KWWRHPC;N9R9QB36;S7EBCZE4"
"PEK4ELY5","journalArticle","Disynaptic group I excitation of synergist ankle extensor motoneurones during fictive locomotion in the cat.","10.1113/jphysiol.1995.sp020897","1995-09-01","The Journal of Physiology","N9R9QB36"
"7388U9W7","book","Neuromechanical Modeling of Posture and Locomotion",,"2015",,"N9R9QB36"
"D6EPXRRL","journalArticle","Artificial tactile and proprioceptive feedback improves performance and confidence on object identification tasks","10.1371/journal.pone.0207659","Dec 5, 2018","PLOS ONE","7N4C29P2;N9R9QB36"
"3UR8MYK9","journalArticle","Biological Pattern Generation: The Cellular and Computational Logic of Networks in Motion","10.1016/j.neuron.2006.11.008","2006-12-07","Neuron","N9R9QB36"
"IGXHQS3V","bookSection","The Motor Circuit","10.1016/S0074-7742(05)69005-8","2005-01-01",,"XXAXGRUX"
"HJUK3CTI","journalArticle","Leg Coordination Mechanisms in the Stick Insect Applied to Hexapod Robot Locomotion","10.1177/105971239300100404","1993-03-01","Adaptive Behavior","N9R9QB36"
"KGJXYZ8C","journalArticle","The role of V3 neurons in speed-dependent interlimb coordination during locomotion in mice","10.1101/2021.09.01.458603","2021-09-03","bioRxiv","N9R9QB36"
"VCRUQ82P","journalArticle","Digital hardware realization of a recurrent neural network for solving the assignment problem","10.1016/S0925-2312(02)00627-6","April 1, 2003","Neurocomputing","5T5PXLZC"
"HM2IV5S6","journalArticle","Ensemble firing of muscle afferents recorded during normal locomotion in cats","10.1111/j.1469-7793.1998.293bu.x","1998","The Journal of Physiology","7N4C29P2"
"4C89374J","journalArticle","Phase-dependent transmission in the excitatory propriospinal reflex pathway from forelimb afferents to lumbar motoneurones during fictive locomotion","10.1016/0304-3940(77)90187-2","1977-04-01","Neuroscience Letters","N9R9QB36"
"N5GSP4J3","journalArticle","Development of novel symmetrical electrode metal-core piezoelectric fibers for an application as airflow sensors","10.3233/JAE-160081","2017/01/01","International Journal of Applied Electromagnetics and Mechanics","8KUXKGCX"
"96REFLMC","journalArticle","Controlling Synchronization in an Ensemble of Globally Coupled Oscillators","10.1103/PhysRevLett.92.114102","2004-3-19","Physical Review Letters","QIP5VX22"
"XM8NL7JU","journalArticle","Simulated Neural Dynamics Produces Adaptive Stepping and Stable Transitions in a Robotic Leg","10.1007/978-3-319-09435-9_15","2014-07-30",,"N9R9QB36"
"EMMZXU4C","journalArticle","Reinforcement Learning for a CPG-driven Biped Robot",,"2004",,"7MUA9TNJ;JHS52VG2;TYJX29H8;XQM5FLN5"
"QMFBYN5K","journalArticle","Effect of stimulating the lumbar skin caudal to a complete spinal cord injury on hindlimb locomotion","10.1152/jn.00739.2014","2015-01-15","Journal of Neurophysiology","N9R9QB36"
"N63HA8YN","journalArticle","Modular organization of murine locomotor pattern in the presence and absence of sensory feedback from muscle spindles","10.1113/jp277515","2019","The Journal of Physiology","XXAXGRUX"
"FWZ3BU82","journalArticle","Variable-mechanical-impedance artificial legs",,"2015-07-21",,"N9R9QB36"
"J665FNFZ","conferencePaper","Bio-inspired optical flow circuits for the visual guidance of micro air vehicles","10.1109/ISCAS.2003.1205152","May 2003",,"5T5PXLZC"
"D7L95VYJ","journalArticle","Neural Control of Stereotypic Limb Movements","10.1002/cphy.cp120105","2011-01-01","Comprehensive Physiology","N9R9QB36"
"B8R7YVFX","journalArticle","Muscle Synergy Organization Is Robust Across a Variety of Postural Perturbations","10.1152/jn.00810.2005","2006/09/01","Journal of Neurophysiology","BHJDGXEG;WGWM9X3A"
"3NT3ITMN","webpage","Implications of Positive Feedback in the Control of Movement","10.1152/jn.1997.77.6.3237",,,"7N4C29P2"
"2XVCTL9G","journalArticle","Quantitative Analysis of Feedback During Locomotion",,"2006-11-20",,"N9R9QB36"
"BBW4I5LA","journalArticle","Characterization of WT1-expressing interneurons and investigation of their role in locomotion","10.7939/r3-jt04-kz83","2019-01-01",,"N9R9QB36"
"23G6BBPZ","journalArticle","The Effects of Spike Frequency Adaptation and Negative Feedback on the Synchronization of Neural Oscillators","10.1162/08997660152002861","2001-06-01","Neural Computation","QUIZCN5R"
"MAIJXHSE","journalArticle","Secondary endings of muscle spindles: Structure, reflex action, role in motor control and proprioception","10.1113/EP089826","2021","Experimental Physiology","N9R9QB36"
"T6335A2Y","journalArticle","The stride cycle of the cat: the modelling of locomotion by computerized analysis of automatic recordings.",,"1983-06-30","Acta Physiologica Scandinavica","N9R9QB36"
"LFXMPDPT","journalArticle","Inhibitory interneurons within the deep dorsal horn integrate convergent sensory input to regulate motor performance","10.1101/2022.05.21.492933","2022-05-21",,"N9R9QB36"
"MA8CHI2A","journalArticle","PSO-based single multiplicative neuron model for time series prediction","10.1016/j.eswa.2008.01.061","3/2009","Expert Systems with Applications","YGJ8NW46"
"7PJ2W8YW","journalArticle","Modelling genetic reorganization in the mouse spinal cord affecting leftΓÇôright coordination during locomotion","10.1113/jphysiol.2013.261115","2013-11-15","The Journal of Physiology","N9R9QB36"
"JSVAKAMF","journalArticle","Simplified neuron model as a principal component analyzer",,,,"YGJ8NW46"
"96IIG3EC","journalArticle","The Importance of Body Stiffness in Undulatory Propulsion",,"1996","American Zoologist","VD8SAM7F"
"68RASXWW","conferencePaper","MAV stability augmentation using weighted outputs from distributed hair sensor arrays","10.1109/ACC.2010.5531002","June 2010",,"8KUXKGCX;U65AP8TW"
"TBCYMMWD","journalArticle","Spiking Neural Networks: Principles and Challenges",,"2014","Computational Intelligence","YGJ8NW46"
"4R9SXY6J","journalArticle","Vibration-Induced Changes in EMG During Human Locomotion","10.1152/jn.00863.2002","2003-03-01","Journal of Neurophysiology","N9R9QB36"
"WQAA4LSP","journalArticle","Sex comparison of extensibility, passive, and active stiffness of the knee flexors","10.1016/j.clinbiomech.2003.09.003","1/2004","Clinical Biomechanics","Q5A46GCA"
"3TUP42LM","journalArticle","Sensory Influences on Interlimb Coordination During Gait","10.1007/978-1-4419-9056-3_1","2004-01-01",,"N9R9QB36"
"34X4264E","journalArticle","Flexion-reflex of the limb, crossed extension-reflex, and reflex stepping and standing.","10.1113/jphysiol.1910.sp001362","1910-04-26","The Journal of Physiology","N9R9QB36"
"VE2MALY4","conferencePaper","Flush Air Data Sensing for Soaring-Capable UAVs","10.2514/6.2013-1153","2013",,"8KUXKGCX;U65AP8TW"
"M87CDFNG","journalArticle","Pharmacological Activation and Modulation of the Central Pattern Generator for Locomotion in the Cat","10.1111/j.1749-6632.1998.tb09061.x","11/1998","Annals of the New York Academy of Sciences","3JICMNZE;7MUA9TNJ;JHS52VG2;JNXN9AAK;PCKP9AS7;RPTFU546;TSL7SF8X;TYJX29H8"
"TINXNGT9","journalArticle","The Human Central Pattern Generator for Locomotion: Does It Exist and Contribute to Walking?","10.1177/1073858417699790","2017-03-28","The Neuroscientist","N9R9QB36"
"FWFTKNBA","journalArticle","Sensory regulation of stance-to-swing transition in generation of adaptive human walking: A simulation study","10.1016/j.robot.2011.12.005","2012-05-01","Robotics and Autonomous Systems","N9R9QB36"
"43FIWMFJ","bookSection","Control of Mammalian Locomotion by Somatosensory Feedback","10.1002/cphy.c210020","2021",,"N9R9QB36"
"2TK8GLJF","journalArticle","Human Lumbosacral Spinal Cord Interprets Loading During Stepping","10.1152/jn.1997.77.2.797","1997-02-01","Journal of Neurophysiology","N9R9QB36"
"DA3KGWTI","journalArticle","Integrative pattern of Ia synaptic actions on motoneurones of hip and knee muscles.","10.1113/jphysiol.1958.sp006101","1958-12-04","The Journal of Physiology","N9R9QB36"
"RIP4975M","journalArticle","Micro Air VehicleΓÇÖs Attitude Control Using Real-Time Pressure and Shear Information","10.2514/1.C032375","February 26, 2014","Journal of Aircraft","8KUXKGCX;U65AP8TW"
"UQ7M6FTR","journalArticle","A Functional Subnetwork Approach to Designing Synthetic Nervous Systems That Control Legged Robot Locomotion.","10.3389/fnbot.2017.00037","2017-08-09","Frontiers in Neurorobotics","N9R9QB36"
"75FFPE9X","journalArticle","Mechanics of slope walking in the cat: quantification of muscle load, length change, and ankle extensor EMG patterns.","10.1152/jn.01300.2004","2006-03-01","Journal of Neurophysiology","N9R9QB36"
"Z9FUEQV3","journalArticle","Fish swimming: patterns in muscle function","10.1242/jeb.202.23.3397","1999-12","The Journal of Experimental Biology","VD8SAM7F"
"FXYLIMHP","journalArticle","In mice lacking V2a interneurons, gait depends on speed of locomotion","10.1523/jneurosci.1206-09.2009","2009-05-27","The Journal of Neuroscience","N9R9QB36"
"VIUVNZ9D","journalArticle","Localization and organization of the central pattern generator for hindlimb locomotion in newborn rat","10.1523/jneurosci.15-07-04943.1995","1995-07-01","The Journal of Neuroscience","N9R9QB36"
"MKF3AHPD","journalArticle","On the organization of the locomotor CPG: insights from split-belt locomotion and mathematical modeling","10.1101/2020.07.17.205351","2020-07-18","bioRxiv","N9R9QB36"
"J5QDKL5K","journalArticle","Prosthetic, orthotic or exoskeleton device",,"2013-06-12",,"N9R9QB36"
"M25BEU95","conferencePaper","Dopamine-Modulated Spiking Central Pattern Generators for Gait Selection in Quadruped Robots","10.1109/ICAR65334.2025.11338745","2025-12",,"5Q8IMQK4"
"42V8578E","journalArticle","Estimation of musculoskeletal models from in situ measurements of muscle action in the rat hindlimb","10.1242/jeb.049163","March 1, 2011","Journal of Experimental Biology","AJENK7I2"
